Country,InternetUse,Latitude,Longitude
Serbia,53.5,44.016521,21.005859
Seychelles,54.26,-4.679574,55.491977
Sierra Leone,2.1,8.460555,-11.779889
Singapore,82,1.352083,103.819836
Slovak Republic,79.98,48.669026,19.699024
Slovenia,71.59,46.151241,14.995463
Solomon Islands,9,-9.64571,160.156194
Somalia,1.63,5.152149,46.199616
South Africa,49,-30.559482,22.937506
South Sudan,15.9,-54.429579,-36.587909
Spain,76.19,40.463667,-3.74922
Sri Lanka,25.8,7.873054,80.771797
Sudan,24.64,12.862807,30.217636
Suriname,40.08,3.919305,-56.027783
Swaziland,27.1,-26.522503,31.465866
Sweden,92.52,60.128161,18.643501
Switzerland,87,46.818188,8.227512
Syrian Arab Republic,28.09,34.802075,38.996815
Tajikistan,17.49,38.861034,71.276093
Tanzania,4.86,-6.369028,34.888822
Thailand,34.89,15.870032,100.992541
Timor-Leste,1.14,-8.874217,125.727539
Togo,5.7,8.619543,0.824782
Tonga,40,-21.178986,-175.198242
Trinidad and Tobago,65.1,10.691803,-61.222503
Tunisia,46.16,33.886917,9.537499
Turkey,51.04,38.963745,35.243322
Turkmenistan,12.2,38.969719,59.556278
Uganda,17.71,1.373333,32.290275
Ukraine,43.4,48.379433,31.16558
United Arab Emirates,90.4,23.424076,53.847818
United Kingdom,91.61,55.378051,-3.435973
United States,87.36,37.09024,-95.712891
Uruguay,61.46,-32.522779,-55.765835
Uzbekistan,43.55,41.377491,64.585262
Vanuatu,18.8,-15.376706,166.959158
"Venezuela, RB",57,6.42375,-66.58973
Vietnam,48.31,14.058324,108.277199
"Yemen, Rep.",22.55,15.552727,48.516388
Zambia,17.34,-13.133897,27.849332
Zimbabwe,19.89,-19.015438,29.154857
